	Unnamed: 0	0	query	triples
19	19	Which writer was from England, Henry Roth or Robert Erskine Childers?	Which writer was from England, Henry Roth or Robert Erskine Childers?	"{""named_entities"": [""England"", ""Henry Roth"", ""Robert Erskine Childers""]}"
20	20	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?	Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?	"{""named_entities"": [""Mexican"", ""Formula One"", ""Force India""]}"
21	21	This singer of A Rather Blustery Day also voiced what hedgehog?	This singer of A Rather Blustery Day also voiced what hedgehog?	"{""named_entities"": [""A Rather Blustery Day""]}"
22	22	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?	Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?	"{""named_entities"": [""Apple Remote""]}"
23	23	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? 	Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? 	"{""named_entities"": [""Badly Drawn Boy"", ""Wolf Alice""]}"
24	24	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?	What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?	"{""named_entities"": [""Kasper Schmeichel"", ""IFFHS""]}"
25	25	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?	Who was the writer of These Boots Are Made for Walkin' and who died in 2007?	"{""named_entities"": [""These Boots Are Made for Walkin'"", ""2007""]}"
26	26	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?	The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?	"{
  ""named_entities"": [""2011–12 VCU Rams men's basketball team"", ""Shaka Smart"", ""Virginia Commonwealth University""]
}"
27	27	Are both Dictyosperma, and Huernia described as a genus?	Are both Dictyosperma, and Huernia described as a genus?	"{""named_entities"": [""Dictyosperma"", ""Huernia"", ""genus""]}"
28	28	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?	Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?	"{""named_entities"": [""Kaiser Ventures"", ""American"", ""father of modern American shipbuilding""]}"
29	29	"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?"	"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?"	"{""named_entities"": [""Tunnels and Trolls"", ""Ken St. Andre""]}"
30	30	"When was Poison's album ""Shut Up, Make Love"" released?"	"When was Poison's album ""Shut Up, Make Love"" released?"	"{""named_entities"": [""Poison"", ""Shut Up, Make Love""]}"
31	31	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?	Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?	"{""named_entities"": [""Hayden"", ""Canada"", ""Buck-Tick""]}"
32	32	Which  French ace pilot and adventurer fly L'Oiseau Blanc	Which  French ace pilot and adventurer fly L'Oiseau Blanc	"{""named_entities"": [""French"", ""L'Oiseau Blanc""]}"
33	33	Are Freakonomics and In the Realm of the Hackers both American documentaries?	Are Freakonomics and In the Realm of the Hackers both American documentaries?	"{""named_entities"": [""Freakonomics"", ""In the Realm of the Hackers"", ""American""]}"
34	34	Which band, Letters to Cleo or Screaming Trees, had more members?	Which band, Letters to Cleo or Screaming Trees, had more members?	"{""named_entities"": [""Letters to Cleo"", ""Screaming Trees""]}"
35	35	Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?	Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?	"{""named_entities"": [""Alexander Kerensky"", ""Bolsheviks""]}"
36	36	Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?	Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?	"{""named_entities"": [""Seven Brief Lessons on Physics"", ""Italian"", ""France""]}"
37	37	The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?	The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?	"{""named_entities"": [""Livesey Hal War Memorial""]}"
38	38	Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?	Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?	"{""named_entities"": [""Elko Regional Airport"", ""Gerald R. Ford International Airport"", ""Michigan""]}"
39	39	Ralph Hefferline was a psychology professor at a university that is located in what city?	Ralph Hefferline was a psychology professor at a university that is located in what city?	"{""named_entities"": [""Ralph Hefferline""]}"
40	40	Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?	Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?	"{""named_entities"": [""Gordon"", ""Irish Setters"", ""Manchester Terrier"", ""Scotch Collie""]}"
41	41	Where is the company that Sachin Warrier worked for as a software engineer headquartered? 	Where is the company that Sachin Warrier worked for as a software engineer headquartered? 	"{""named_entities"": [""Sachin Warrier""]}"
42	42	A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?	A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?	"{""named_entities"": [""Japanese"", ""Ichitaka Seto""]}"
43	43	The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?	The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?	"{""named_entities"": [""Giuseppe Arimondi"", ""Ethiopia""]}"
44	44	Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?	Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?	"{""named_entities"": [""Alfred Balk"", ""Committee on the Employment of Minority Groups in the News Media"", ""United States Vice President""]}"
45	45	A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?	A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?	"{""named_entities"": [""Dirleton"", ""East Lothian"", ""Scotland""]}"
46	46	Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?	Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?	"{""named_entities"": [""Back to Mono""]}"
47	47	What type of forum did a former Soviet statesman initiate?	What type of forum did a former Soviet statesman initiate?	"{""named_entities"": [""former Soviet statesman""]}"
48	48	Are Ferocactus and Silene both types of plant?	Are Ferocactus and Silene both types of plant?	"{""named_entities"": [""Ferocactus"", ""Silene""]}"
49	49	Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?	Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?	"{""named_entities"": [""British"", ""South West Pacific theatre"", ""World War II""]}"
50	50	Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?	Which year and which conference was the 14th season for this conference as part of the NCAA Division that the Colorado Buffaloes played in with a record of 2-6 in conference play?	"{""named_entities"": [""14th season"", ""NCAA Division"", ""Colorado Buffaloes""]}"
51	51	In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?	In 1991 Euromarché was bought by a chain that operated how any hypermarkets at the end of 2016?	"{""named_entities"": [""Euromarché""]}"
52	52	What race track in the midwest hosts a 500 mile race eavery May?	What race track in the midwest hosts a 500 mile race eavery May?	"{""named_entities"": [""midwest"", ""500 mile race""]}"
53	53	"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?"	"In what city did the ""Prince of tenors"" star in a film based on an opera by Giacomo Puccini?"	"{""named_entities"": [""Prince of tenors"", ""Giacomo Puccini""]}"
54	54	Ellie Goulding worked with what other writers on her third studio album, Delirium?	Ellie Goulding worked with what other writers on her third studio album, Delirium?	"{""named_entities"": [""Ellie Goulding"", ""Delirium""]}"
55	55	Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.	Which Australian city founded in 1838 contains a boarding school opened by a Prime Minister of Australia and named after a school in London of the same name.	"{""named_entities"": [""Australian"", ""1838"", ""boarding school"", ""Prime Minister of Australia"", ""London""]}"
56	56	D1NZ is a series based on what oversteering technique?	D1NZ is a series based on what oversteering technique?	"{""named_entities"": [""D1NZ""]}"
57	57	who is younger Keith Bostic or Jerry Glanville ?	who is younger Keith Bostic or Jerry Glanville ?	"{""named_entities"": [""Keith Bostic"", ""Jerry Glanville""]}"
58	58	According to the 2001 census, what was the population of the city in which Kirton End is located?	According to the 2001 census, what was the population of the city in which Kirton End is located?	"{""named_entities"": [""2001 census"", ""Kirton End""]}"
59	59	Are both Cypress and Ajuga genera?	Are both Cypress and Ajuga genera?	"{""named_entities"": [""Cypress"", ""Ajuga""]}"
60	60	What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?	What distinction is held by the former NBA player who was a member of the Charlotte Hornets during their 1992-93 season and was head coach for the WNBA team Charlotte Sting?	"{""named_entities"": [""NBA"", ""Charlotte Hornets"", ""1992-93 season"", ""head coach"", ""WNBA"", ""Charlotte Sting""]}"
61	61	What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?	What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?	"{""named_entities"": [""Jerry Goldsmith""]}"
62	62	Who was born earlier, Emma Bull or Virginia Woolf?	Who was born earlier, Emma Bull or Virginia Woolf?	"{""named_entities"": [""Emma Bull"", ""Virginia Woolf""]}"
63	63	What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?	What was the Roud Folk Song Index of the nursery rhyme inspiring What Are Little Girls Made Of?	"{""named_entities"": [""Roud Folk Song Index"", ""What Are Little Girls Made Of""]}"
64	64	Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?	Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?	"{""named_entities"": [""Scott Parkin"", ""Exxonmobil""]}"
65	65	What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?	What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?	"{""named_entities"": [""WB"", ""Jawbreaker"", ""Rose McGowan""]}"
66	66	Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?	Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?	"{""named_entities"": [""Vince Phillips"", ""junior welterweight"", ""Hall of Fame""]}"
67	67	"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?"	"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?"	"{""named_entities"": [""Confessions""]}"
68	68	who is the younger brother of The episode guest stars of The Hard Easy 	who is the younger brother of The episode guest stars of The Hard Easy 	"{""named_entities"": [""The Hard Easy""]}"
69	69	The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?	The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?	"{""named_entities"": [""2017–18"", ""Wigan Athletic F.C."", ""league cup""]}"
70	70	"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?"	"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?"	"{""named_entities"": [""Tara Strong"", ""Teen Titans"", ""DC Comics""]}"
71	71	What is the inhabitant of the city where  122nd SS-Standarte was formed in2014	What is the inhabitant of the city where  122nd SS-Standarte was formed in2014	"{""named_entities"": [""122nd SS-Standarte""]}"
72	72	What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? 	What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? 	"{""named_entities"": [""Netherlands"", ""Oranjegekte"", ""Koningsdag""]}"
73	73	"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?"	"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?"	"{""named_entities"": [""1996"", ""William Shakespeare"", ""Romeo & Juliet"", ""James Gunn""]}"
74	74	Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?	Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?	"{""named_entities"": [""Robert Suettinger"", ""Governor of Arkansas""]}"
75	75	What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?	What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?	"{""named_entities"": [""American"", ""Hawaiian"", ""18 October 1992"", ""Rip Curl Pro Portugal""]}"
76	76	What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?	What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?	"{""named_entities"": [""Bobbi Bacha"", ""Suburban Madness""]}"
77	77	Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?	Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?	"{""named_entities"": [""Alvaro Mexia"", ""indigenous people""]}"
78	78	What nationality were social anthropologists Alfred Gell and Edmund Leach?	What nationality were social anthropologists Alfred Gell and Edmund Leach?	"{""named_entities"": [""Alfred Gell"", ""Edmund Leach"", ""social anthropologists""]}"
79	79	In which year was the King who made the 1925 Birthday Honours born?	In which year was the King who made the 1925 Birthday Honours born?	"{""named_entities"": [""1925 Birthday Honours""]}"
80	80	What is the county seat of the county where East Lempster, New Hampshire is located?	What is the county seat of the county where East Lempster, New Hampshire is located?	"{""named_entities"": [""East Lempster"", ""New Hampshire""]}"
81	81	The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?	The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?	"{""named_entities"": [""Against the Wind"", ""Robert C Seger""]}"
82	82	Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?	Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?	"{""named_entities"": [""Rostker v. Goldberg""]}"
83	83	Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?	Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?	"{""named_entities"": [""Handi-Snacks"", ""American multinational confectionery, food, and beverage company"", ""Illinois""]}"
84	84	"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?"	"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?"	"{""named_entities"": [""Their Lives: The Women Targeted by the Clinton Machine"", ""former white house intern""]}"
85	85	When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?	When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?	"{""named_entities"": [""American"", ""lawyer"", ""lobbyist"", ""political consultant"", ""senior member"", ""presidential campaign"", ""Donald Trump""]}"
86	86	"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?"	"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?"	"{""named_entities"": [""Lourenço Mutarelli"", ""Nina""]}"
87	87	Where are Teide National Park and Garajonay National Park located?	Where are Teide National Park and Garajonay National Park located?	"{""named_entities"": [""Teide National Park"", ""Garajonay National Park""]}"
88	88	How many copies of Roald Dahl's variation on a popular anecdote sold?	How many copies of Roald Dahl's variation on a popular anecdote sold?	"{""named_entities"": [""Roald Dahl""]}"
89	89	What occupation do Chris Menges and Aram Avakian share?	What occupation do Chris Menges and Aram Avakian share?	"{""named_entities"": [""Chris Menges"", ""Aram Avakian""]}"
90	90	Andrew Jaspan was the co-founder of what not-for-profit media outlet?	Andrew Jaspan was the co-founder of what not-for-profit media outlet?	"{""named_entities"": [""Andrew Jaspan""]}"
91	91	Which American film director hosted the 18th Independent Spirit Awards in 2002?	Which American film director hosted the 18th Independent Spirit Awards in 2002?	"{""named_entities"": [""American"", ""18th Independent Spirit Awards"", ""2002""]}"
92	92	Where does the hotel and casino located in which Bill Cosby's third album was recorded?	Where does the hotel and casino located in which Bill Cosby's third album was recorded?	"{""named_entities"": [""hotel and casino"", ""Bill Cosby's third album""]}"
93	93	Do the drinks Gibson and Zurracapote both contain gin?	Do the drinks Gibson and Zurracapote both contain gin?	"{""named_entities"": [""Gibson"", ""Zurracapote"", ""gin""]}"
94	94	In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? 	In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? 	"{""named_entities"": [""British journal of literary essays""]}"
95	95	Tysons Galleria is located in what county?	Tysons Galleria is located in what county?	"{""named_entities"": [""Tysons Galleria""]}"
96	96	Bordan Tkachuk was the CEO of a company that provides what sort of products?	Bordan Tkachuk was the CEO of a company that provides what sort of products?	"{""named_entities"": [""Bordan Tkachuk""]}"
97	97	Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?	Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?	"{""named_entities"": [""Lev Yilmaz"", ""Pamela B. Green""]}"
98	98	In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?	In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?	"{""named_entities"": [""Rabat-Salé-Kénitra"", ""China""]}"
99	99	Are Yingkou and Fuding the same level of city?	Are Yingkou and Fuding the same level of city?	"{""named_entities"": [""Yingkou"", ""Fuding""]}"
100	100	Where did the descendants of the group of black Indians associated with the Seminole people settle?	Where did the descendants of the group of black Indians associated with the Seminole people settle?	"{""named_entities"": [""Seminole""]}"
101	101	David Huntsinger has worked with this gospel singer born in the month of July?	David Huntsinger has worked with this gospel singer born in the month of July?	"{""named_entities"": [""David Huntsinger"", ""gospel singer""]}"
102	102	What year was the brother of this first round draft pick by the Washington Redskins drafted?	What year was the brother of this first round draft pick by the Washington Redskins drafted?	"{""named_entities"": [""Washington Redskins""]}"
103	103	Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? 	Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? 	"{""named_entities"": [""1964 Georgia Tech Yellow Jackets football team"", ""stadium""]}"
104	104	Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?	Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?	"{""named_entities"": [""2 June 2017"", ""Fine Gael"", ""Irish"", ""Taoiseach"", ""Minister for Defence""]}"
105	105	Which American film actor and dancer starred in the 1945 film Johnny Angel?	Which American film actor and dancer starred in the 1945 film Johnny Angel?	"{""named_entities"": [""American"", ""Johnny Angel"", ""1945""]}"
106	106	hree Men on a Horse is a play by a playwright born in which year ?	hree Men on a Horse is a play by a playwright born in which year ?	"{""named_entities"": [""Three Men on a Horse""]}"
107	107	What type of activity does Owner earnings and Warren Buffett have in common?	What type of activity does Owner earnings and Warren Buffett have in common?	"{""named_entities"": [""Owner earnings"", ""Warren Buffett""]}"
108	108	When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? 	When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? 	"{""named_entities"": [""Indian"", ""ODI"", ""2000 ICC KnockOut Trophy""]}"
109	109	Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?	Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?	"{""named_entities"": [""Major"", ""514th Flight Test Squadron""]}"
110	110	Based on a True Story... is an album by which country music star, with the single My Eyes?	Based on a True Story... is an album by which country music star, with the single My Eyes?	"{""named_entities"": [""Based on a True Story"", ""My Eyes""]}"
111	111	"Over how many centuries were the ""dwelling place of the dead"" built?"	"Over how many centuries were the ""dwelling place of the dead"" built?"	"{""named_entities"": [""dwelling place of the dead""]}"
112	112	"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? "	"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? "	"{""named_entities"": [""British"", ""Here We Go Round the Mulberry Bush""]}"
113	113	Who died first, George Archainbaud or Ralph Murphy?	Who died first, George Archainbaud or Ralph Murphy?	"{""named_entities"": [""George Archainbaud"", ""Ralph Murphy""]}"
114	114	Which component of shellite has the formula (ON)CHOH?	Which component of shellite has the formula (ON)CHOH?	"{""named_entities"": [""(ON)CHOH"", ""shellite""]}"
115	115	The Argentine PGA Championship record holder has won how many tournaments worldwide?	The Argentine PGA Championship record holder has won how many tournaments worldwide?	"{""named_entities"": [""Argentine PGA Championship""]}"
116	116	Suicide's 1977 released album features a song based on what brand's comic character?	Suicide's 1977 released album features a song based on what brand's comic character?	"{""named_entities"": [""Suicide"", ""1977"", ""album"", ""brand's comic character""]}"
117	117	What other political position did the person who introduced the DISCLOSE Act hold?	What other political position did the person who introduced the DISCLOSE Act hold?	"{""named_entities"": [""DISCLOSE Act""]}"
118	118	Were the bands Skin Yard and Ostava from the U.S.?	Were the bands Skin Yard and Ostava from the U.S.?	"{""named_entities"": [""Skin Yard"", ""Ostava"", ""U.S.""]}"
119	119	Are Daryl Hall and Gerry Marsden both musicians?	Are Daryl Hall and Gerry Marsden both musicians?	"{""named_entities"": [""Daryl Hall"", ""Gerry Marsden"", ""musicians""]}"
120	120	What major truck road is located in Backford Cross?	What major truck road is located in Backford Cross?	"{""named_entities"": [""Backford Cross""]}"
121	121	In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?	In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?	"{""named_entities"": [""Caroline Carver"", ""Hallmark Entertainment""]}"
122	122	What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?	What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?	"{""named_entities"": [""Sarah Bolger"", ""New England""]}"
123	123	Maxeda has been owned since 2004 by which American multinational equity firm?	Maxeda has been owned since 2004 by which American multinational equity firm?	"{""named_entities"": [""Maxeda"", ""American multinational equity firm""]}"
124	124	The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?	The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?	"{""named_entities"": [""Lady Mary-Gaye Curzon"", ""Douglas Smith"", ""Lucien Laviscount""]}"
125	125	Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?	Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?	"{""named_entities"": [""Mummulgum"", ""Bruxner Highway""]}"
126	126	"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?"""	"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?"""	"{""named_entities"": [""American"", ""San Francisco Bay Area"", ""hippie movement"", ""1960s"", ""Old and in the Way""]}"
127	127	When was the palace founded at which Columba de Dunbar died in 1435?	When was the palace founded at which Columba de Dunbar died in 1435?	"{""named_entities"": [""Columba de Dunbar""]}"
128	128	Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?	Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?	"{""named_entities"": [""Bubblegum Alley"", ""Gum Wall"", ""California""]}"
129	129	At what venue was the January 2, 2012 game featured the University of Louisville team?	At what venue was the January 2, 2012 game featured the University of Louisville team?	"{""named_entities"": [""January 2, 2012"", ""University of Louisville""]}"
